remediesName 
Abel Moschus
Abies Canadensis
Abies Nigra
Abroma Augusta
Abroma Radix
Abrotanum
Abrus Precatorius
Absinthium
Acalypha Indica
Acer Negundo
Acetanilidum
Achyranthes Aspera
Acid Chryso
Acidum Aceticum
Acidum Acetylsalicylicum
Acidum Ascorbicum
Acidum Benzoicum
Acidum Boracicum
Acidum Butyricum
Acidum Carbolicum
Acidum Chromicum
Acidum Chrysophanicum
Acidum Citricum 
Acidum Formicum
Acidum Gallicum
Acidum Hippuricum
Acidum Hydrcyanicum
Acidum Hydrofluoricum
Acidum Lacticum
Acidum Muriaticum
Acidum Nitricum
Acidum Nitromuriaticum
Acidum Oxalicum
Acidum Phosphoricum
Acidum Picricum
Acidum Salicylicum
Acidum Sarcolacticum
Acidum Sulphuricum
Acidum Sulphurosum
Acidum Tannicum
Acidum Tartaricum
Acidum Uricum
Aconitum Ferox
Aconitum Napellus
Aconitum Radice
Acorus Calamus
Actaea Spicata
Adonis Vernalis
Adrenalium
Adrenocorticotrophin
Aegle Folia
Aegle Marmelos
Aesculus
Aesculus Hippocastanum
Aether Aethylicus
Aethiops Antimonialis
Aethiops Merucurialis Mineralis
Aethusa Cynapium
Agaricus Muscarius
Agave Americana
Agnus Castus
Agraphis Nutans
Ailanthus Glandulosus
Aletris Farinosa
Alfalfa
Allium  Ursinum
Allium Cepa
Allium Sativum
Allium Ursinum
Alloxanum 
Alnus Glutinosa
Aloe Socotrina
Alstonia Constricta
Alstonia Scholaris
Althea Officinalis
Alumen
Alumina
Aluminium Metallicum
Aluminium Phosphoricum
Aluminium Sulphuricum
Ambra Grisea
Ambrosia Artemisiaefolia
Ammi Visnaga
Ammoniacum Gummi
Ammonium Aceticum
Ammonium Benzoicum
Ammonium Bromidum
Ammonium Carbonicum
Ammonium Causticum
Ammonium Iodatum
Ammonium Muriaticum
Ammonium Nitricum
Ammonium Phosphoricum
Ammonium Picricum
Ammonium Valerianicum
Amoora Rohituka
Amygdalus Amara
Amygdalus Persica
Amyl Nitrosum
Anacardium Occidentale
Anacardium Orientale
Anagallis Arvensis
Ananassa
Anatherum Muricatum
Andrographis Paniculata
Anethum Graveolens
Angelica Archangelica
Angustura Vera
Anilinum
Anilinum Sulphuricum
Anthemis Nobilis
Anthracinum
Anthrakokali
Antimonium Arsenicicum
Antimonium Arsenicosum
Antimonium Crudum
Antimonium Iodatum
Antimonium Muriaticum
Antimonium Oxydatum
Antimonium Sulphuratum Aureum
Antimonium Tartaricum
Antipyrinum
Apis Mellifica
Apis Virus
Apium Graveolens
Apocynum Androsaemifolium
Apocynum Cannabinum
Apomorphia
Apomorphinum Muriaticum
Aqua Marina
Aquilegaia Vulgaris
Aralia Racemosa
Aranea Diadema
Areca Catechu
Argemone Mexicana
Argentum Cyanatum
Argentum Iodatum
Argentum Metallicum
Argentum Muriaticum
Argentum Nitricum
Argentum Oxydatum
Argentum Phosphoricum
Aristolochia Clematis
Aristrolochia Serpentaria
Arnica Montana
Arsenicum Album
Arsenicum Hydrogeniatum
Arsenicum Iodatam
Arsenicum Metallicum
Arsenicum Sulph.Falvum
Arsenicum Sulphuratum Rubrum
Artemisia Vulgaris
Arum Maculatum
Arum Triphyllum
Arundo Mauritanica
Asafoetida
Asarum Europaeum
Ascaris Lumbricoides
Asclepias Syriaca
Asclepias Tuberosa
Aspidosperma Quebracho
Astacus Fluviatilis
Asterias Rubens
Atista Indica
Atista Radix
Atropinum
Atropinum Sulphuricum
Auromycine
Aurum Iodatum
Aurum Metallicum
Aurum Muriaticum
Aurum Muriaticum Natronatum
Aurum Sulphuratum
Avena Sativa
Aviaire
Azadirachta Indica
Bacillinum
Bacopa Munnieri (Brahmi)
Badiaga
Balsamodendron Mukul (Guggulu)
Balsamum Peruvianum
Baptisia Tinctoria
Barosma Crenata
Bartya Iodata
Bartya Muriatica
Bartya Sulphurata
Baryta Acetica
Baryta Carbonica
Belladonna
Bellis Perennis
Benzenum
Benzinum Nitricum
Benzocainum
Benzoinum
Berberis Aquifolium
Berberis Vulgaris 
Beryllium Metallicum
Beta Vulgaris
Bio-Combination No.1
Bio-Combination No.10
Bio-Combination No.11
Bio-Combination No.12
Bio-Combination No.13
Bio-Combination No.14
Bio-Combination No.15
Bio-Combination No.16
Bio-Combination No.17
Bio-Combination No.18
Bio-Combination No.19
Bio-Combination No.2
Bio-Combination No.20
Bio-Combination No.21
Bio-Combination No.22
Bio-Combination No.23
Bio-Combination No.24
Bio-Combination No.25
Bio-Combination No.26
Bio-Combination No.27
Bio-Combination No.28
Bio-Combination No.3
Bio-Combination No.4
Bio-Combination No.5
Bio-Combination No.6
Bio-Combination No.7
Bio-Combination No.8
Bio-Combination No.9
Bismuthum Metallicum
Bismuthum Oxydatum
Bismuthum Sub-Nitricum
Blatta Orientalis
Boerhaavia  Diffusa
Boerhaavia Diffusa
Boldo
Borax
Bothrops Lanceolatus
Bovista
Bromium
Brucinum
Bryonia Alba
Bryophyllum Calycinum
Bufo Rana
Cactus Grandiflorus
Cadmium Arsencicum
Cadmium Arsenicosum
Cadmium Fluoratum
Cadmium Iodatum
Cadmium Metallicum
Cadmium Phosphoricum
Cadmium Sulphuratum
Cadmium Suphuricum
Caesalpinia Bonducella
Caffeinum
Cajuputum
Caladium Seguinum
Calcarea  Arsenicica
Calcarea Acetica
Calcarea Arsenicosa
Calcarea Bromata
Calcarea Carbonica
Calcarea Caustica
Calcarea Fluorica
Calcarea Hypophosphorosa
Calcarea Iodata
Calcarea Muriatica
Calcarea Ova Tosta
Calcarea Oxalica
Calcarea Phosphorica
Calcarea Picrata
Calcarea Silicata
Calcarea Sulphurica
Calculi Biliarii
Calendula Officinalis
Calotropis Gigantea
Caltha Paustris
Camphora
Camphora Monobromata
Cannabis Indica
Cannabis Sativa
Cantharis
Capsicum Annum
Carbo Animalis
Carbo Vegetabilis
Carboneum Oxygenisatum
Carboneum Sulphuratum
Carcino Adeno Stomach
Carcino Sc Mammae
Carcinoma Adeno Pap Colon
Carcinosin
Carcinosin Mix
Carcinosin Squam. Pulm
Cardiospermum Helicacabum
Carduus Benedictus
Carduus Marianus
Carica Papaya
Carlsbad
Carum Carvi
Cascara Sagrada
Cascarilla
Cassia Fistula
Cassia Sophera
Cassis Sophera
Castanea Vesca
Castor Equi
Castoreum
Caulophyllum Thalictroides
Causticum
Ceanothus Americanus
Cedron
Cenchris Contortrix
Cephalandra Indica
Cereus Bonplandii
Cerium Metallicum
Cerium Oxalicum
Chamomilla
Chaparo Amargoso
Chaparro Amargoso (Castela Texana)
Chaulmoograe
Cheiranthus Cheiri
Chelidonium Majus
Chelone Glabra
Chenopodium Anthelminticum
Chenopodium Vulvara
Cherianthus Cheri
Chimaphila Umbellata
Chininum Arsenicicum
Chininum Arsenicosum
Chininum Bromhydricum
Chininum Muriaticum
Chininum Purum
Chininum Sulphuricum
Chionanthus Virginica
Chlolarum
Chlorinum
Chloroformum
Chlorpromazine
Chocolate 
Cholesterinum
Chrysanthemum Parth
Chrysarobinum
Cicaderma
Cicuta Maculata
Cicuta Virosa
Cimex Lectularius
Cimicifuga Racemosa
Cina
Cinchona Officinalis
Cinchoninum Sulphuricum
Cineraria Maritima
Cineraria Maritima ( Alochol Free)
Cinnabaris
Cinnamomum
Cistus Canadensis
Citrus Limonum
Citrus Vulgaris
Clematis Erecta
Clerodendron Infort
Clerodendron Infortunatum
Cm Eye Drops
Cm Eye Drops 10%
Cme Eye Drops
Cobaltum Metallicum
Cobaltum Nitricum
Coca
Cocainum Muriaticum
Cocculus Indicus
Coccus Cacti
Cochlearia Armoracia
Coclearia Armoracia
Codeinum
Coffea Cruda
Coffea Tosta
Cola Acuminata
Colchicinum
Colchicum Autumnale
Collinsonia Canadensis
Colocynthis
Condurango
Conium Maculatum
Convallaria Majalis
Copaiva Officinalis
Corallium Rubrum
Coriandrum Sativum
Cornus Circinata
Cortisone
Cotyledon Umbilicus
Crataegus Oxyacantha
Crocus Sativus
Crotalus Cascavella
Crotalus Horridus
Croton Tiglium
Crysanthemum Parthenium
Cubeba Officinalis
Cucurbita Pepo
Culex Pipiens
Cupressus Lawsoniana
Cuprum Aceticum
Cuprum Arsenicosum
Cuprum Carbonicum
Cuprum Metallicum
Cuprum Nitricum
Cuprum Sulphuratum
Cuprum Sulphuricum
Curare
Curcuma Longa
Curoplus
Cyclamen Europaeum
Cyclohexane
Cydonia Vulgaris
Cynodon Dactylon
Cypripedium Pubescens
D.N.A
Damiana
Daphne Indica
Desmodium Gangeticum
Digitalinum
Digitalis Purpurea
Dioscorea Villosa
